bookID,title,authors,average_rating,isbn,isbn13
1,Harry Potter and the Half-Blood Prince (Harry Potter  #6),J.K. Rowling-Mary GrandPré,4.56,439785960,9.78E+12
2,Harry Potter and the Order of the Phoenix (Harry Potter  #5),J.K. Rowling-Mary GrandPré,4.49,439358078,9.78E+12
3,Harry Potter and the Sorcerer's Stone (Harry Potter  #1),J.K. Rowling-Mary GrandPré,4.47,439554934,9.78E+12
4,Harry Potter and the Chamber of Secrets (Harry Potter  #2),J.K. Rowling,4.41,439554896,9.78E+12
5,Harry Potter and the Prisoner of Azkaban (Harry Potter  #3),J.K. Rowling-Mary GrandPré,4.55,043965548X,9.78E+12
8,Harry Potter Boxed Set  Books 1-5 (Harry Potter  #1-5),J.K. Rowling-Mary GrandPré,4.78,439682584,9.78E+12
9,"Unauthorized Harry Potter Book Seven News: ""Half-Blood Prince"" Analysis and Speculation",W. Frederick Zimmerman,3.69,976540606,9.78E+12
10,Harry Potter Collection (Harry Potter  #1-6),J.K. Rowling,4.73,439827604,9.78E+12
12,The Ultimate Hitchhiker's Guide: Five Complete Novels and One Story (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,4.38,517226952,9.78E+12
13,The Ultimate Hitchhiker's Guide to the Galaxy,Douglas Adams,4.38,345453743,9.78E+12
14,The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),Douglas Adams,4.22,1400052920,9.78E+12
16,The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),Douglas Adams-Stephen Fry,4.22,739322206,9.78E+12
18,The Ultimate Hitchhiker's Guide (Hitchhiker's Guide to the Galaxy #1-5),Douglas Adams,4.38,517149257,9.78E+12
21,A Short History of Nearly Everything,Bill Bryson-William Roberts,4.2,076790818X,9.78E+12
22,Bill Bryson's African Diary,Bill Bryson,3.43,767915062,9.78E+12
23,Bryson's Dictionary of Troublesome Words: A Writer's Guide to Getting It Right,Bill Bryson,3.88,767910435,9.78E+12
24,In a Sunburned Country,Bill Bryson,4.07,767903862,9.78E+12
25,I'm a Stranger Here Myself: Notes on Returning to America After Twenty Years Away,Bill Bryson,3.9,076790382X,9.78E+12
26,The Lost Continent: Travels in Small Town America,Bill Bryson,3.83,60920084,9.78E+12
27,Neither Here nor There: Travels in Europe,Bill Bryson,3.87,380713802,9.78E+12
28,Notes from a Small Island,Bill Bryson,3.92,380727501,9.78E+12
29,The Mother Tongue: English and How It Got That Way,Bill Bryson,3.94,380715430,9.78E+12
30,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien,4.59,345538374,9.78E+12
31,The Lord of the Rings (The Lord of the Rings  #1-3),J.R.R. Tolkien,4.49,618517650,9.78E+12
32,The Lord of the Rings (The Lord of the Rings  #1-3),J.R.R. Tolkien,4.49,618346244,9.78E+12
34,The Fellowship of the Ring (The Lord of the Rings  #1),J.R.R. Tolkien,4.35,618346252,9.78E+12
35,The Lord of the Rings (The Lord of the Rings  #1-3),J.R.R. Tolkien-Alan  Lee,4.49,618260587,9.78E+12
36,The Lord of the Rings: Weapons and Warfare,Chris   Smith-Christopher  Lee-Richard Taylor,4.53,618391002,9.78E+12
37,The Lord of the Rings: Complete Visual Companion,Jude Fisher,4.5,618510826,9.78E+12
38,The Lord of the Rings Box Set,J.R.R. Tolkien,4.49,618153977,9.78E+12
40,Cooking with Fernet Branca (Gerald Samper  #1),James Hamilton-Paterson,3.61,193337201X,9.78E+12
45,Agile Web Development with Rails: A Pragmatic Guide,Dave Thomas-David Heinemeier Hansson-Leon Breedt-Mike Clark-Thomas  Fuchs-Andreas  Schwarz,3.89,097669400X,9.78E+12
50,Hatchet,Gary Paulsen,3.7,689840926,9.78E+12
51,"Hatchet: A Guide for Using ""Hatchet"" in the Classroom",Donna Ickes-Edward Sciranko-Keith Vasconcelles,3.97,1557344493,9.78E+12
53,Guts: The True Stories behind Hatchet and the Brian Books,Gary Paulsen,3.87,385326505,9.78E+12
54,Molly Hatchet - 5 of the Best,Molly Hatchet,4.33,1575606240,9.78E+12
55,Hatchet Jobs: Writings on Contemporary Fiction,Dale Peck,3.48,1595580271,9.78E+12
57,A Changeling for All Seasons (Changeling Seasons #1),Angela Knight-Sahara Kelly-Judy Mays-Marteeka Karland-Kate Douglas-Shelby Morgen-Lacey Savage-Kate Hill-Willa Okati,3.75,1595962808,9.78E+12
58,Changeling (Changeling  #1),Delia Sherman,3.6,670059676,9.78E+12
59,The Changeling Sea,Patricia A. McKillip,4.07,141312629,9.78E+12
61,The Changeling,Zilpha Keatley Snyder,4.17,595321801,9.78E+12
63,The Changeling,Kate Horsley,3.56,1590301943,9.78E+12
66,The Changeling (Daughters of England  #15),Philippa Carr,3.99,449146979,9.78E+12
67,The Known World,Edward P. Jones,3.83,61159174,9.78E+12
68,The Known World,Edward P. Jones-Kevin R. Free,3.83,006076273X,9.78E+12
69,The Known World,Edward P. Jones,3.83,60749911,9.78E+12
71,Traders  Guns & Money: Knowns and Unknowns in the Dazzling World of Derivatives,Satyajit Das,3.83,273704745,9.78E+12
72,Artesia: Adventures in the Known World,Mark Smylie,4.16,1932386106,9.78E+12
73,The Known World,Edward P. Jones,3.83,096513671X,9.78E+12
74,The John McPhee Reader (John McPhee Reader  #1),John McPhee-William Howarth,4.43,374517193,9.78E+12
75,Uncommon Carriers,John McPhee,3.95,374280398,9.78E+12
